generative_candidate_id,candidate_id,architecture,window_size,latent_dim,window_id,window_start,window_end,direction_id,seed,alpha,factor_mse_to_real,returns_mse_to_real,normalized_euclidean_distance,volatility_ratio,mean_abs_correlation_change,latent_step_distance,left_boundary_jump,right_boundary_jump
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,3,314524,0.25,0.00038314121930080954,0.0005899614980825177,0.024289123040622886,0.28183931454655714,0.5001522557655147,0.00013838461883643012,0.027580426536345234,0.01931989996616418
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,3,314524,0.5,0.000383340652327319,0.000590111572333529,0.02429221217455358,0.2842745759279927,0.4995921368718908,0.00013801823605400637,0.02760247265881238,0.01930910179798957
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,3,314524,0.75,0.000383557292610482,0.0005902981627443327,0.024296052410717525,0.28670953630808743,0.4989735174157015,0.00013762666039043866,0.02762438521021977,0.01929832577200917
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,3,314524,1.0,0.0003837911355474832,0.0005905209387209485,0.02430063659085804,0.2891420886774554,0.4982839297120241,0.00013721079991840335,0.027646162351205324,0.019287639054042908
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,3,314524,1.5,0.0003843102690293303,0.0005910736706447682,0.024312006717767422,0.2939920630821252,0.4966523023287743,0.0002730884509778284,0.027689305710373445,0.019266780703522574
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,4,314525,0.0,0.0003829590252815433,0.0005898481942325627,0.024286790529680174,0.27940575883938634,0.5005692685184955,,0.027558247281316048,0.019330654333073957
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,4,314525,0.25,0.00038296837078238106,0.0005895160532108641,0.02427995167233379,0.27641151790125684,0.5001704012449589,0.00015798574796540738,0.027469178326039886,0.01936140474960363
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,4,314525,0.5,0.00038299914806920747,0.0005892376184576035,0.024274217154371912,0.2734177585652726,0.4996008993272371,0.00015919169302217498,0.02738045122823678,0.019392312808001102
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,4,314525,0.75,0.00038305194700911466,0.0005890143728797596,0.024269618309313387,0.2704269289756726,0.498820222693904,0.00016038948996735975,0.02729208091138086,0.019423366320552304
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,4,314525,1.0,0.0003831273249717351,0.0005888477559664781,0.02426618544325576,0.2674411160750866,0.4978951414813832,0.00016157344493985556,0.027204083115793764,0.019454551220405847
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,4,314525,1.5,0.00038334812043929763,0.0005886903893581915,0.024262942718437753,0.2614940319165709,0.4957091219990688,0.000326630158496373,0.027029266228782944,0.019517230038763954
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,5,314526,0.0,0.0003829590252815433,0.0005898481942325627,0.024286790529680174,0.27940575883938634,0.5005692685184955,,0.027558247281316048,0.019330654333073957
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,5,314526,0.25,0.0003829163859123989,0.0005896843753087746,0.024283417702390543,0.27803756727798096,0.5019549829578556,0.00014663649612944483,0.027480623160954565,0.019404126004277107
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,5,314526,0.5,0.0003828948519327162,0.0005895654919316197,0.024280969748583348,0.2766903053431419,0.5032133885522929,0.00014700287891186855,0.027402686769103943,0.019477905705571175
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,5,314526,0.75,0.00038289447757270615,0.0005894921303855156,0.02427945902168159,0.2753643342364781,0.504266654405279,0.0001472973398840707,0.02732444910701209,0.01955186773169165
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,5,314526,1.0,0.00038291527348512214,0.0005894647720620782,0.024278895610428373,0.2740595335574534,0.5051412841135539,0.00014752294685914727,0.02724592310648101,0.019625882483281506
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,5,314526,1.5,0.0003830201605998704,0.0005895494761514677,0.024280639945262313,0.27151256054505446,0.5066936123547261,0.0002954350396738903,0.02708805144939106,0.019773512739144888
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,6,314527,0.0,0.0003829590252815433,0.0005898481942325627,0.024286790529680174,0.27940575883938634,0.5005692685184955,,0.027558247281316048,0.019330654333073957
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,6,314527,0.25,0.000382974217132917,0.0005897537740078597,0.024284846592224126,0.2767026263313602,0.5003390937131273,0.00020181601088990089,0.027473896031733603,0.019359274467569777
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,6,314527,0.5,0.00038302360932894556,0.0005897426979185496,0.024284618545872813,0.27406750005960756,0.5005027533913456,0.00020384885428855227,0.02739007992010253,0.019388233545275094
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,6,314527,0.75,0.0003831078356040515,0.0005898187532743844,0.024286184411602914,0.2715033499040248,0.5003842020894919,0.00020575229733081626,0.027306820050580428,0.019417250479455105
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,6,314527,1.0,0.00038322740358932844,0.0005899853428248512,0.02428961388793266,0.2690132862118005,0.5000845946407214,0.00020752256047095868,0.02722413570251471,0.019446041795890778
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,6,314527,1.5,0.00038357429260015707,0.0005906026424195166,0.024302317634734276,0.26426609373164917,0.49944258729098345,0.00041972036993013405,0.027060574631711156,0.019509681585865715
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,7,314528,0.0,0.0003829590252815433,0.0005898481942325627,0.024286790529680174,0.27940575883938634,0.5005692685184955,,0.027558247281316048,0.019330654333073957
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,7,314528,0.25,0.00038290504230775464,0.0005899733301440209,0.024289366606480726,0.280640566673288,0.5002281835597825,9.545650770906418e-05,0.027601077458045135,0.019330474997210936
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,7,314528,0.5,0.0003828590887169678,0.0005901143162126885,0.024292268651006817,0.28189213024849635,0.4998873878468215,9.571516730243654e-05,0.027643900290907672,0.01933051032247022
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,7,314528,0.75,0.0003828212748518064,0.0005902713105233296,0.024295499799825683,0.28316075056635226,0.4995036208562457,9.59694337874555e-05,0.02768671480783572,0.01933073380108302
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,7,314528,1.0,0.0003827917505106602,0.0005904445611158083,0.024299065025547968,0.2844462068925391,0.499159260151255,9.621734989936585e-05,0.027729518113968274,0.01933112421829719
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,7,314528,1.5,0.00038275803928030803,0.0005908405958492308,0.02430721283588949,0.28706750716936913,0.49850224833523527,0.00019315100961413246,0.02781508689901481,0.019332301465328782
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,8,314529,0.0,0.0003829590252815433,0.0005898481942325627,0.024286790529680174,0.27940575883938634,0.5005692685184955,,0.027558247281316048,0.019330654333073957
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,8,314529,0.25,0.0003828897829124949,0.0005899061047380567,0.024287982722697592,0.281261612706463,0.5041764943245235,0.00016307999886626965,0.027613393143595507,0.019259037946661315
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,8,314529,0.5,0.0003828422486117245,0.0005900137700097803,0.024290199052494,0.2831790715146313,0.5079626504818574,0.00016274685890655367,0.027668070178090906,0.019186829720274544
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,8,314529,0.75,0.0003828161879372259,0.0005901696464058693,0.024293407467991586,0.2851557071864086,0.5118617021091564,0.00016231448132880975,0.027722270255132266,0.01911408450784317
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,8,314529,1.0,0.000382811222920055,0.0005903719001058264,0.024297569839509182,0.2871886903091909,0.5157688246186106,0.00016178853545163917,0.027775987967227897,0.019040858847438356
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,8,314529,1.5,0.0003828629998266925,0.0005909081005192812,0.024308601369047975,0.2914107759168707,0.5233064487941392,0.0003216270216444606,0.027881950399993607,0.018893194375171635
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,9,314530,0.0,0.0003829590252815433,0.0005898481942325627,0.024286790529680174,0.27940575883938634,0.5005692685184955,,0.027558247281316048,0.019330654333073957
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,9,314530,0.25,0.00038329245055721434,0.0005898360816658271,0.024286541163076866,0.2791454127463167,0.5002540014102933,0.00017442403541996908,0.027521227230317892,0.019366357170899087
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,9,314530,0.5,0.00038365687369963463,0.0005898902789037914,0.024287656924944227,0.27887296639934533,0.4999087307251494,0.00017414515893829436,0.02748435176035855,0.019403746683868423
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,9,314530,0.75,0.0003840516258511983,0.0005900107294826705,0.02429013646488365,0.27858884120034944,0.4994835657042545,0.00017387477416326927,0.027447624142708568,0.019442796525739443
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,9,314530,1.0,0.00038447600168498356,0.0005901973605796155,0.024293977866533416,0.27829337828418194,0.49896389876859965,0.00017360650004365417,0.027411049383226783,0.01948346759163542
3,94,gru_256_256,12,64,25,2020-07-22,2020-08-06,9,314530,1.5,0.00038541093485405375,0.0005907688657085896,0.024305737300246412,0.2776699643737924,0.49702650299302253,0.00034635415967546946,0.027338373213812397,0.019569521749508566
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,0,314621,0.0,0.0002708421185815823,0.0005183573890552401,0.022767463386491698,0.20409785375408995,0.4657158041407736,,0.016006618958878487,0.013948401735009004
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,0,314621,0.25,0.0002709816194718419,0.000519014232172688,0.022781883859169506,0.20400760616538657,0.46667590702754436,0.00010439398600838914,0.016020025060182283,0.013933409765983621
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,0,314621,0.5,0.0002711276976077913,0.0005196762266299253,0.022796408195808505,0.20393797350811288,0.4676639950415659,0.0001033414929626812,0.016033422143179148,0.013920067502961804
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,0,314621,0.75,0.0002712803077830987,0.0005203431816883283,0.022811032017169414,0.20388730658775453,0.46870192173246056,0.00010232526146776745,0.016046810588159134,0.013908298608536521
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,0,314621,1.0,0.0002714394213521831,0.0005210149001487849,0.02282575081237822,0.20385423107554954,0.46976720089933394,0.00010134406439840951,0.016060189696630308,0.013898020160074036
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,0,314621,1.5,0.0002717769837784794,0.0005223719433291407,0.02285545762677135,0.2038360899358914,0.47205638979725634,0.0001998712137271034,0.016086919508234133,0.013881622685585172
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,1,314622,0.0,0.0002708421185815823,0.0005183573890552401,0.022767463386491698,0.20409785375408995,0.4657158041407736,,0.016006618958878487,0.013948401735009004
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,1,314622,0.25,0.0002708993419061788,0.0005184017647199519,0.02276843790689102,0.2044710527294058,0.4649637444506741,0.00010379498936577769,0.016009745168169807,0.013931563717778771
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,1,314622,0.5,0.0002709691916622734,0.0005184561865955877,0.02276963299211447,0.20487576964432974,0.46406149872133057,0.00010392659854759417,0.01601290463343806,0.013916707554987322
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,1,314622,0.75,0.0002710516955290985,0.0005185203320951638,0.022771041524163184,0.20531113409064586,0.4630736185771469,0.00010404429212920739,0.01601609730811712,0.013903912579795967
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,1,314622,1.0,0.00027114686820325034,0.0005185939428856388,0.022772657791431346,0.20577639018753505,0.4620967596632119,0.0001041500212397464,0.01601932319996801,0.013893250135394435
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,1,314622,1.5,0.00027137519822642277,0.0005187684899763201,0.02277648985195744,0.20679311860564834,0.4611527629565628,0.00020857592477558585,0.016025874705034464,0.013878596814659734
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,2,314623,0.0,0.0002708421185815823,0.0005183573890552401,0.022767463386491698,0.20409785375408995,0.4657158041407736,,0.016006618958878487,0.013948401735009004
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,2,314623,0.25,0.00027080983264996797,0.0005175975068009085,0.02275076936723039,0.20359326894912877,0.4676548909072557,0.00016043419413979402,0.016005960645755598,0.014035463779388616
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,2,314623,0.5,0.0002708055146907536,0.0005169003148998277,0.022735441823281723,0.20330752309403363,0.46792497010919043,0.000159651472306492,0.016005405499890914,0.014116045203991234
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,2,314623,0.75,0.0002708294301777174,0.0005162651043332084,0.022721467917659027,0.20322893439432768,0.46676917009651003,0.0001589321314917524,0.016004955205426087,0.014190286995532613
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,2,314623,1.0,0.0002708818132932416,0.0005156911871791285,0.022708835002684054,0.20334614173224527,0.46454055720580306,0.00015827602444054665,0.01600461063159552,0.014277096845520039
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,2,314623,1.5,0.00027107292138790767,0.000514724688444803,0.022687544786618125,0.2041335633964221,0.4605935943107303,0.00031478653471562345,0.01600424534359869,0.014458356811276947
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,3,314624,0.0,0.0002708421185815823,0.0005183573890552401,0.022767463386491698,0.20409785375408995,0.4657158041407736,,0.016006618958878487,0.013948401735009004
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,3,314624,0.25,0.00027092101322112106,0.0005182766224961949,0.022765689589735575,0.20446798339517072,0.4652137136672953,0.00017430474657554595,0.016017450108483898,0.013988503010477871
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,3,314624,0.5,0.0002710131083538214,0.000518230837111815,0.022764683988841468,0.2049976955109968,0.46462530382730033,0.00017583769596583764,0.016028248584188987,0.014030178814815978
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,3,314624,0.75,0.00027111850094892334,0.0005182216567600333,0.022764482352121106,0.20569083822210174,0.4640594534998187,0.00017730798834145753,0.016039011560981937,0.014073305755543213
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,3,314624,1.0,0.0002712373081694856,0.0005182507574717781,0.022765121512343788,0.20655022890244762,0.4636633509929268,0.00017870152403341662,0.016049736229372988,0.014118023841486622
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,3,314624,1.5,0.0002715155702587541,0.0005184306625172664,0.022769072500153937,0.20877249560509098,0.4636042212655636,0.0003612406859098351,0.016071061731296746,0.014227109726440782
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,4,314625,0.0,0.0002708421185815823,0.0005183573890552401,0.022767463386491698,0.20409785375408995,0.4657158041407736,,0.016006618958878487,0.013948401735009004
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,4,314625,0.25,0.00027087394246425717,0.0005178695787468509,0.0227567479826721,0.20458012862214833,0.4640978829569089,0.0001769574477458613,0.016008241276237338,0.014070985423556219
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,4,314625,0.5,0.0002709232437950054,0.0005173822114405861,0.022746037268952718,0.20530025398794685,0.46210496880248586,0.0001799447491549263,0.01600986369448947,0.014193926375204077
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,4,314625,0.75,0.0002709903427505055,0.0005168967608780491,0.022735363662762232,0.20626762109802566,0.4597336743121193,0.00018291264971397246,0.016011485740212567,0.014316854625940323
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,4,314625,1.0,0.0002710755432092247,0.0005164149213217871,0.022724764494308564,0.20749045301947733,0.4569872243680153,0.00018584995804082574,0.01601310714177089,0.01443940678727813
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,4,314625,1.5,0.0002713013518081466,0.0005154700261855594,0.02270396498820326,0.21072827996078627,0.4516436384735513,0.0003802524636005746,0.016016342160583008,0.014685045854518346
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,5,314626,0.0,0.0002708421185815823,0.0005183573890552401,0.022767463386491698,0.20409785375408995,0.4657158041407736,,0.016006618958878487,0.013948401735009004
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,5,314626,0.25,0.0002707342442613684,0.000518510296631213,0.022770821167257295,0.20649154506431103,0.4624518685545996,0.000171320451623315,0.01601382584340172,0.013935877763045331
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,5,314626,0.5,0.00027064613430294104,0.0005187116285949432,0.022775241570506845,0.20903458010000067,0.4597180582793784,0.00017098306581027424,0.016021094171931812,0.013923244663358977
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,5,314626,0.75,0.000270577928841299,0.000518960565794555,0.022780705998597914,0.21171997268995216,0.45722779810436187,0.0001705739790695548,0.016028424642960695,0.013910364964976907
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,5,314626,1.0,0.00027052970049674165,0.0005192562003477545,0.022787193779571776,0.21454126348898414,0.4548348977919826,0.00017010640753997407,0.016035817326337565,0.013897111325059086
3,94,gru_256_256,12,64,26,2020-12-02,2020-12-17,5,314626,1.5,0.00027049317896119066,0.0005199833341855242,0.022803143076898943,0.22056666436369785,0.453087885809424,0.000338621822665881,0.01605079030026294,0.013868996194408586
