generative_candidate_id,window_size,alpha,mean_difference,volatility_ratio_aggregate,quantile_mae,skewness_difference,kurtosis_difference,cross_sectional_mean_difference,distance_to_original,distance_to_original_std,between_direction_diversity,latent_smoothness,latent_smoothness_std,left_boundary_jump,right_boundary_jump,cov_frobenius_distance,cov_frobenius_relative,cov_element_correlation,mean_correlation_real,mean_correlation_synthetic,mean_abs_correlation_difference,max_abs_correlation_difference,largest_eigenvalue_real,largest_eigenvalue_synthetic,first_eigenvalue_share_real,first_eigenvalue_share_synthetic,top5_eigenvalue_difference
1,7,1.0,2.1448097787859816e-05,0.8089773399202098,0.006789705093251363,0.11452062067847296,0.5775291309989363,0.0019468663850668638,0.012114203608567355,0.002175299810140582,0.0006602999584422932,0.00012175284872372869,3.0177443025885406e-05,0.020661019699047514,0.020724811548890037,0.0015335630468297499,0.25246076073231594,0.9790185973724588,0.2437709316759177,0.37310637939661295,0.13050144774269987,0.3525090941476242,0.005063025291092805,0.004837449720559554,0.3120820574770591,0.4558039283570876,0.0009359706161447219
1,7,1.5,2.229819157167055e-05,0.8087985063605069,0.006860158127033865,0.11636383471350714,0.557757555071202,0.001959412846320735,0.012130169592175428,0.0021747726050268716,0.000991008529591283,0.00024357590033560433,6.031199804229716e-05,0.020666248406249605,0.02071783247702163,0.0015343558477944471,0.25259127452832225,0.9790070080593296,0.2437709316759177,0.37310640015703755,0.1304876368713039,0.35279643180627285,0.005063025291092805,0.0048342091422863,0.3120820574770591,0.4556988115511141,0.0009373443941547212
2,10,0.0,4.940611351703409e-05,0.7256136538855171,0.011253385253366747,0.565228223115381,8.463649331600603,0.0037226931131952826,0.01565457302858403,0.0044528929245858835,0.0,,,0.018563088513352945,0.018415622285416856,0.002686560743691287,0.33941272093718533,0.9680329328794369,0.2962297909474498,0.4963202940539891,0.20015116868003466,0.4301062932939594,0.006891514189861888,0.0054196523473443205,0.34536326171273596,0.5161667384430003,0.0022025558420902857
2,10,0.25,4.914988339369301e-05,0.7255847035446443,0.011224980273400671,0.56665086677688,8.447864114315447,0.003722523354278104,0.015655073473499807,0.004452684421097204,0.00014384464498024943,0.00012076746880269487,3.760602583667446e-05,0.018561228881201045,0.01841760035139062,0.002686759534104266,0.33943783557310925,0.9680586024954877,0.2962297909474498,0.4963572567635968,0.20018746179864513,0.43005645329408376,0.006891514189861888,0.005419564813799604,0.34536326171273596,0.5162003224112207,0.0022029855458069575
2,10,0.5,4.8891499586898126e-05,0.7255396536376504,0.01125270911504071,0.5681232207121217,8.431212960750994,0.003723115062719368,0.015656761161886298,0.0044522885583849064,0.00028773896382033756,0.00012075189349445972,3.757791757090031e-05,0.01855954782848033,0.018419403564265423,0.002687166415486818,0.339489239851786,0.9680833921569159,0.2962297909474498,0.4963872399033448,0.20021676811869896,0.43000318157973766,0.006891514189861888,0.005419180466498049,0.34536326171273596,0.5162285184542553,0.0022036659278920428
2,10,0.75,4.863131134261493e-05,0.725478576359899,0.011293141052942024,0.5696469240488374,8.413676797420916,0.0037241856742983373,0.015659632541173845,0.004451706665441712,0.00043165573783120745,0.00012075834329213028,3.756460576732325e-05,0.018558119016243046,0.01842106132072077,0.0026877809258515194,0.3395668754069906,0.9681071980927136,0.2962297909474498,0.496410313663072,0.20023915767251657,0.4299463253364921,0.006891514189861888,0.005418500855060937,0.34536326171273596,0.5162513955213957,0.002204595917178754
2,10,1.0,4.8369900737452545e-05,0.7254013995160263,0.0113363402137768,0.5712238245310152,8.395259439022478,0.0037260912103394793,0.015663683944240905,0.004450941002244733,0.0005755682591381743,0.00012078851018765957,3.7571937189843224e-05,0.018556962149617173,0.018422376226907365,0.002688602956450134,0.339670728499769,0.9681299296892841,0.2962297909474498,0.4964265334067925,0.20025468574866467,0.42988578460439303,0.006891514189861888,0.005417526767812366,0.34536326171273596,0.5162689768358449,0.0022057749508362914
2,10,1.5,4.78458571662486e-05,0.7251993246928274,0.011364811473177043,0.5745425813497865,8.35578495171779,0.0037333462329542243,0.015675312286953298,0.004448871545317374,0.000863280870214326,0.00024174730698687844,7.524927849680905e-05,0.01855550843012776,0.018424367643837952,0.002690869230098707,0.3399570433010467,0.9681719195224915,0.2962297909474498,0.4964386510299755,0.20026539543567068,0.4297533322965101,0.006891514189861888,0.005414697733174781,0.34536326171273596,0.5162882527795337,0.002208878282891787
3,12,0.0,0.00011631327211923941,0.5318691344569583,0.020359527616994923,0.8358899405457478,31.29431904499217,0.005970032534585293,0.01911642805950951,0.0041405112950454155,0.0,,,0.0177332394842136,0.017756109191007757,0.0037285408904489275,0.5922457816036593,0.9523604472568633,0.2692113585741845,0.5479039411253318,0.27869258255114726,0.555453335315562,0.005307760213008918,0.002631448950611042,0.3083849407428019,0.5450742768256717,0.0033858518891625687
3,12,0.25,0.00011753986760575368,0.5318612528757418,0.02031313182762869,0.8367947390534383,31.339134108468734,0.005969520216265846,0.01911625046235082,0.004140242651177102,0.00018865526241512845,0.00014771792411335494,4.560957476153087e-05,0.017729149290996674,0.01775816281547789,0.0037286266992745663,0.5922594115775558,0.9523717432734814,0.2692113585741845,0.5478884286840061,0.2786770701098217,0.555489191519195,0.005307760213008918,0.0026312620054787664,0.3083849407428019,0.5450326824648348,0.003385948723372288
3,12,0.5,0.0001189443457040195,0.5318624952924853,0.020316567339119927,0.8371826460816365,31.358261000558578,0.005970035362455692,0.019117456838636415,0.004140384528586921,0.000377513105209277,0.00014773633100420192,4.552353718825258e-05,0.017725730719623727,0.017760541428786865,0.0037287243707548375,0.592274925829343,0.9523893094214039,0.2692113585741845,0.5478239791052899,0.27861262053110536,0.5554818048359575,0.005307760213008918,0.002630994659408873,0.3083849407428019,0.5449562740833191,0.003386098901886655
3,12,0.75,0.00012052672096595212,0.531872745230619,0.020322960227495513,0.8370527079560262,31.35180653278514,0.005971718971892445,0.019120047425863266,0.004140936914913473,0.0005665214774566583,0.00014776361325013305,4.549790085843083e-05,0.01772316753889827,0.017762889389409005,0.0037288351815291504,0.5922925271419132,0.9524131907925238,0.2692113585741845,0.5477105964611658,0.2784992378869813,0.5554314040805697,0.005307760213008918,0.0026306455245774197,0.3083849407428019,0.5448450727272238,0.0033863035132335514
3,12,1.0,0.00012228684787239923,0.5318918085625268,0.02033288790448616,0.8364013483979207,31.319808852121078,0.00597446941869866,0.019124022167121474,0.00414190105640185,0.0007556273690740392,0.00014780036382260598,4.553369161077069e-05,0.01772119397058414,0.017765475567547886,0.003728960207882517,0.5923123864736319,0.9524434133811696,0.2692113585741845,0.5475483629750726,0.27833700440088815,0.5553382537141474,0.005307760213008918,0.0026302137041609493,0.3083849407428019,0.5446992038341499,0.003386563358486895
3,12,1.5,0.0001263388868753989,0.5319557541992929,0.020321252823225684,0.8335191061951619,31.17937458698436,0.0059827480885464475,0.019136120316850885,0.004145071324706656,0.0011339168309725577,0.00029572764398106424,9.139290316248323e-05,0.017719093053380736,0.017771873509659784,0.0037292574748905355,0.5923596047117261,0.9525229345445941,0.2692113585741845,0.5470780178152238,0.27786665924103926,0.5550249521954654,0.005307760213008918,0.0026290988987879025,0.3083849407428019,0.544304229337962,0.003387251894594166
