candidate_id,architecture,latent_dim,window_size,learning_rate,family,hidden_dims,dropout,beta_kl,branch_loss_weights,best_epoch,best_validation_score,validation_branch_weighted_loss,validation_common_reconstruction_loss,validation_market_loss,validation_sector_loss,validation_idio_loss,validation_kl_loss,validation_total_loss,n_parameters,training_time_seconds,n_train_windows,n_validation_windows,checkpoint,history_path,market_hidden,sector_hidden,idio_hidden,fusion_hidden
1,single_gru_small,8,15,0.0005,single_branch,[64],0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.829731285572052,0.829731285572052,0.8435402512550354,0.8006848096847534,0.8493244051933289,0.8391846418380737,2.510014772415161,0.8322412967681885,43597,48.94929029996274,2423,44,..\models\vae\candidates\candidate_001.pt,..\reports\figures\vae\training_curves\candidate_001.csv,,,,
85,multibranch_deep,16,15,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.8326245546340942,0.8326245546340942,0.8406398296356201,0.8157644271850586,0.8445664644241333,0.8375425338745117,2.1984190940856934,0.834822952747345,127133,72.56585900002392,2423,44,..\models\vae\candidates\candidate_085.pt,..\reports\figures\vae\training_curves\candidate_085.csv,"[16, 16]","[64, 32]","[64, 32]",128.0
60,multibranch_small,32,10,0.0005,multi_branch,,0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.8330672979354858,0.8330672979354858,0.8251089453697205,0.8498069047927856,0.8207277655601501,0.8286669850349426,2.6753172874450684,0.8357425928115845,37053,22.3787875000271,2448,64,..\models\vae\candidates\candidate_060.pt,..\reports\figures\vae\training_curves\candidate_060.csv,[8],[32],[32],64.0
56,multibranch_small,24,10,0.0005,multi_branch,,0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.8348355293273926,0.8348355293273926,0.8278208374977112,0.8495904803276062,0.8218930959701538,0.833022952079773,2.8940858840942383,0.8377296328544617,34285,22.971041699987836,2448,64,..\models\vae\candidates\candidate_056.pt,..\reports\figures\vae\training_curves\candidate_056.csv,[8],[32],[32],64.0
52,multibranch_small,16,10,0.0005,multi_branch,,0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.836365818977356,0.836365818977356,0.8272806406021118,0.855475902557373,0.8155425190925598,0.8380789756774902,2.5676732063293457,0.8389334678649902,31517,23.97139459999744,2448,64,..\models\vae\candidates\candidate_052.pt,..\reports\figures\vae\training_curves\candidate_052.csv,[8],[32],[32],64.0
81,multibranch_deep,8,15,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.8367674350738525,0.8367674350738525,0.8411611914634705,0.8275250196456909,0.844577431678772,0.83819979429245,2.188258171081543,0.8389557003974915,123149,74.19530409999425,2423,44,..\models\vae\candidates\candidate_081.pt,..\reports\figures\vae\training_curves\candidate_081.csv,"[16, 16]","[64, 32]","[64, 32]",128.0
5,single_gru_small,16,15,0.0005,single_branch,[64],0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",48,0.8377859592437744,0.8377859592437744,0.8446136116981506,0.8234239220619202,0.8474687337875366,0.8424649834632874,2.2556865215301514,0.8400416374206543,46173,15.689356199989561,2423,44,..\models\vae\candidates\candidate_005.pt,..\reports\figures\vae\training_curves\candidate_005.csv,,,,
69,multibranch_medium,16,15,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.8396245241165161,0.8396245241165161,0.8336790204048157,0.8521304726600647,0.8333039283752441,0.8334391713142395,2.1224536895751953,0.841746985912323,97501,43.07636179996189,2423,44,..\models\vae\candidates\candidate_069.pt,..\reports\figures\vae\training_curves\candidate_069.csv,[16],[64],[64],128.0
48,multibranch_small,8,10,0.0005,multi_branch,,0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.8402220010757446,0.8402220010757446,0.8316589593887329,0.8582338094711304,0.8273573517799377,0.8350747227668762,2.4347734451293945,0.8426567912101746,28749,23.86765969998669,2448,64,..\models\vae\candidates\candidate_048.pt,..\reports\figures\vae\training_curves\candidate_048.csv,[8],[32],[32],64.0
73,multibranch_medium,24,15,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.8427451848983765,0.8427451848983765,0.8331396579742432,0.8629499077796936,0.8314265608787537,0.8338590860366821,2.2192275524139404,0.8449643850326538,103021,42.54667920002248,2423,44,..\models\vae\candidates\candidate_073.pt,..\reports\figures\vae\training_curves\candidate_073.csv,[16],[64],[64],128.0
109,multibranch_idio_large,32,15,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",47,0.8459304571151733,0.8459304571151733,0.8315103054046631,0.8762624263763428,0.8271594643592834,0.8343693614006042,2.229170083999634,0.8481596112251282,265213,68.68714870000258,2423,44,..\models\vae\candidates\candidate_109.pt,..\reports\figures\vae\training_curves\candidate_109.csv,[16],[64],"[128, 64]",128.0
105,multibranch_idio_large,24,15,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.8474068641662598,0.8474068641662598,0.8352436423301697,0.8729912042617798,0.8332151770591736,0.8360140323638916,2.301670551300049,0.8497085571289062,259693,68.90141360001871,2423,44,..\models\vae\candidates\candidate_105.pt,..\reports\figures\vae\training_curves\candidate_105.csv,[16],[64],"[128, 64]",128.0
